                      flowSize	                      deadline	                  completeTime
                            28	                             0	                        466651
                           457	                             0	                       1595286
                            21	                             0	                        530919
                          7687	                             0	                       3001588
                          7689	                             0	                       2653266
                            11	                             0	                        520330
                           522	                             0	                        412360
                           583	                             0	                        296339
                           495	                             0	                        350460
                            27	                             0	                        383354
